xflr5 v6.10.03

Wing name :        wing010
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000   0.449286   0.005366   0.016270   0.021636  -0.000000   0.000000  -0.091771   0.000000   0.000000   40.0000     0.1166
   -4.500   0.491570   0.006286   0.015667   0.021953   0.000000   0.000000  -0.077210   0.000000   0.000000   40.0000     0.0892
   -4.000   0.533787   0.007307   0.015227   0.022534   0.000000   0.000000  -0.062614  -0.000000   0.000000   40.0000     0.0662
   -3.500   0.575927   0.008429   0.014889   0.023318   0.000000   0.000000  -0.047975  -0.000000   0.000000   40.0000     0.0466
   -3.000   0.617982   0.009651   0.014657   0.024308  -0.000000   0.000000  -0.033298  -0.000000   0.000000   40.0000     0.0297
   -2.500   0.659944   0.010972   0.014504   0.025476   0.000000   0.000000  -0.018582  -0.000000   0.000000   40.0000     0.0149
   -2.000   0.701805   0.012392   0.014415   0.026808   0.000000   0.000000  -0.003828  -0.000000   0.000000   40.0000     0.0019
   -1.500   0.743556   0.013910   0.014362   0.028273   0.000000   0.000000   0.010962  -0.000000   0.000000   40.0000    -0.0097
   -1.000   0.785188   0.015525   0.014337   0.029862   0.000000   0.000000   0.025785  -0.000000  -0.000000   40.0000    -0.0200
   -0.500   0.826693   0.017236   0.014340   0.031576   0.000000   0.000000   0.040637  -0.000000  -0.000000   40.0000    -0.0293
    0.000   0.868064   0.019042   0.014369   0.033411   0.000000   0.000000   0.055514  -0.000000  -0.000000   40.0000    -0.0377
    0.500   0.909291   0.020942   0.014424   0.035366   0.000000   0.000000   0.070411  -0.000000  -0.000000   40.0000    -0.0454
    1.000   0.950368   0.022935   0.014509   0.037443   0.000000   0.000000   0.085325  -0.000000  -0.000000   40.0000    -0.0523
    1.500   0.991285   0.025019   0.014617   0.039636   0.000000   0.000000   0.100250  -0.000000  -0.000000   40.0000    -0.0588
    2.000   1.032035   0.027193   0.014750   0.041943   0.000000   0.000000   0.115184  -0.000000   0.000000   40.0000    -0.0647
    2.500   1.072610   0.029456   0.014908   0.044363   0.000000   0.000000   0.130121  -0.000000   0.000000   40.0000    -0.0701
    3.000   1.113002   0.031806   0.015096   0.046902   0.000000   0.000000   0.145058  -0.000000   0.000000   40.0000    -0.0752
    3.500   1.153204   0.034242   0.015334   0.049575  -0.000000   0.000000   0.159990  -0.000000  -0.000000   40.0000    -0.0800


