xflr5 v6.10.03

Wing name :        wing003
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000   0.547138   0.007968   0.016112   0.024080   0.000000   0.000000  -0.165183   0.000000   0.000000   40.0000     0.2410
   -4.500   0.591218   0.009287   0.015379   0.024666   0.000000   0.000000  -0.152932   0.000000  -0.000000   40.0000     0.2169
   -4.000   0.635216   0.010707   0.014759   0.025467   0.000000   0.000000  -0.140634  -0.000000  -0.000000   40.0000     0.1961
   -3.500   0.679124   0.012228   0.014367   0.026595   0.000000   0.000000  -0.128307  -0.000000  -0.000000   40.0000     0.1780
   -3.000   0.722934   0.013848   0.014233   0.028081   0.000000   0.000000  -0.115954  -0.000000  -0.000000   40.0000     0.1622
   -2.500   0.766637   0.015568   0.014160   0.029728   0.000000   0.000000  -0.103552  -0.000000  -0.000000   40.0000     0.1481
   -2.000   0.810223   0.017385   0.014136   0.031522   0.000000   0.000000  -0.091105  -0.000000  -0.000000   40.0000     0.1356
   -1.500   0.853686   0.019300   0.014136   0.033436   0.000000   0.000000  -0.078613  -0.000000  -0.000000   40.0000     0.1244
   -1.000   0.897016   0.021311   0.014147   0.035457   0.000000   0.000000  -0.066077  -0.000000  -0.000000   40.0000     0.1143
   -0.500   0.940204   0.023417   0.014177   0.037593   0.000000   0.000000  -0.053504  -0.000000  -0.000000   40.0000     0.1051
    0.000   0.983244   0.025617   0.014237   0.039853   0.000000   0.000000  -0.040896  -0.000000  -0.000000   40.0000     0.0967
    0.500   1.026125   0.027909   0.014332   0.042241   0.000000   0.000000  -0.028259  -0.000000  -0.000000   40.0000     0.0890
    1.000   1.068841   0.030293   0.014445   0.044739   0.000000   0.000000  -0.015594   0.000000  -0.000000   40.0000     0.0820
    1.500   1.111382   0.032767   0.014579   0.047347   0.000000   0.000000  -0.002905  -0.000000  -0.000000   40.0000     0.0755
    2.000   1.153742   0.035330   0.014736   0.050067  -0.000000   0.000000   0.009804   0.000000   0.000000   40.0000     0.0695
    2.500   1.195911   0.037980   0.014915   0.052895   0.000000   0.000000   0.022529  -0.000000  -0.000000   40.0000     0.0639
    3.000   1.237883   0.040716   0.015117   0.055833   0.000000   0.000000   0.035267  -0.000000  -0.000000   40.0000     0.0587
    3.500   1.279649   0.043535   0.015340   0.058875   0.000000   0.000000   0.048014   0.000000   0.000000   40.0000     0.0538
    4.000   1.321202   0.046437   0.015583   0.062020   0.000000   0.000000   0.060767   0.000000  -0.000000   40.0000     0.0493
    4.500   1.362533   0.049419   0.015850   0.065270   0.000000   0.000000   0.073522  -0.000000  -0.000000   40.0000     0.0450
    5.000   1.403636   0.052480   0.016139   0.068619   0.000000  -0.000000   0.086275  -0.000000  -0.000000   40.0000     0.0410


