xflr5 v6.10.03

Wing name :        wing012
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500   0.376538   0.007568   0.012625   0.020192  -0.000000   0.000000   0.101021   0.000000  -0.000000   40.0000    -0.1836
    0.000   0.418128   0.007991   0.012274   0.020265  -0.000000  -0.000000   0.113591   0.000000   0.000000   40.0000    -0.1854
    0.500   0.459659   0.008513   0.012132   0.020644  -0.000000   0.000000   0.126153   0.000000   0.000000   40.0000    -0.1870
    1.000   0.501120   0.009130   0.012052   0.021183  -0.000000   0.000000   0.138710   0.000000   0.000000   40.0000    -0.1882
    1.500   0.542505   0.009844   0.012017   0.021861  -0.000000   0.000000   0.151261   0.000000  -0.000000   40.0000    -0.1893
    2.000   0.583805   0.010654   0.012013   0.022667  -0.000000   0.000000   0.163802   0.000000   0.000000   40.0000    -0.1903
    2.500   0.625011   0.011558   0.012042   0.023600  -0.000000   0.000000   0.176330   0.000000  -0.000000   40.0000    -0.1911
    3.000   0.666116   0.012557   0.012095   0.024652   0.000000   0.000000   0.188841   0.000000   0.000000   40.0000    -0.1919
    3.500   0.707112   0.013648   0.012172   0.025821   0.000000   0.000000   0.201333   0.000000   0.000000   40.0000    -0.1926
    4.000   0.747990   0.014833   0.012273   0.027106  -0.000000   0.000000   0.213801   0.000000   0.000000   40.0000    -0.1932
    4.500   0.788742   0.016109   0.012392   0.028501  -0.000000  -0.000000   0.226243   0.000000  -0.000000   40.0000    -0.1938
    5.000   0.829361   0.017475   0.012529   0.030004  -0.000000   0.000000   0.238654   0.000000   0.000000   40.0000    -0.1943


