xflr5 v6.10.03

Wing name :        wing011
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500   0.252844   0.003862   0.014997   0.018859   0.000000  -0.000000   0.018509   0.000000   0.000000   40.0000    -0.0709
   -4.000   0.294874   0.004166   0.013970   0.018136  -0.000000  -0.000000   0.031246   0.000000  -0.000000   40.0000    -0.0894
   -3.500   0.336877   0.004570   0.013080   0.017651  -0.000000   0.000000   0.043983   0.000000  -0.000000   40.0000    -0.1033
   -3.000   0.378845   0.005074   0.012419   0.017494   0.000000  -0.000000   0.056710   0.000000   0.000000   40.0000    -0.1141
   -2.500   0.420770   0.005678   0.012137   0.017814   0.000000   0.000000   0.069419   0.000000   0.000000   40.0000    -0.1227
   -2.000   0.462643   0.006381   0.011978   0.018359  -0.000000  -0.000000   0.082127   0.000000  -0.000000   40.0000    -0.1298
   -1.500   0.504456   0.007182   0.011895   0.019077  -0.000000  -0.000000   0.094835   0.000000  -0.000000   40.0000    -0.1357
   -1.000   0.546200   0.008082   0.011853   0.019935  -0.000000  -0.000000   0.107541   0.000000  -0.000000   40.0000    -0.1408
   -0.500   0.587867   0.009081   0.011836   0.020917  -0.000000  -0.000000   0.120244   0.000000   0.000000   40.0000    -0.1451
    0.000   0.629449   0.010176   0.011842   0.022018  -0.000000  -0.000000   0.132939   0.000000   0.000000   40.0000    -0.1488
    0.500   0.670937   0.011368   0.011864   0.023233  -0.000000  -0.000000   0.145624   0.000000   0.000000   40.0000    -0.1521
    1.000   0.712323   0.012657   0.011910   0.024567  -0.000000  -0.000000   0.158294   0.000000  -0.000000   40.0000    -0.1551
    1.500   0.753599   0.014040   0.011988   0.026028  -0.000000  -0.000000   0.170946   0.000000   0.000000   40.0000    -0.1577
    2.000   0.794756   0.015518   0.012084   0.027602  -0.000000  -0.000000   0.183577   0.000000  -0.000000   40.0000    -0.1601
    2.500   0.835788   0.017090   0.012213   0.029303  -0.000000  -0.000000   0.196182   0.000000   0.000000   40.0000    -0.1622
    3.000   0.876685   0.018753   0.012365   0.031118  -0.000000  -0.000000   0.208759   0.000000  -0.000000   40.0000    -0.1642
    3.500   0.917439   0.020508   0.012564   0.033072  -0.000000  -0.000000   0.221302   0.000000   0.000000   40.0000    -0.1659
    4.000   0.958044   0.022354   0.012815   0.035168  -0.000000  -0.000000   0.233808   0.000000  -0.000000   40.0000    -0.1676
    4.500   0.998490   0.024288   0.013094   0.037382  -0.000000   0.000000   0.246274   0.000000  -0.000000   40.0000    -0.1691
    5.000   1.038770   0.026310   0.013399   0.039709  -0.000000  -0.000000   0.258696  -0.000000   0.000000   40.0000    -0.1706


