xflr5 v6.10.03

Wing name :        wing002
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000   0.569145   0.008360   0.015689   0.024048   0.000000   0.000000  -0.212616  -0.000000   0.000000   40.0000     0.3532
   -4.500   0.614142   0.009716   0.015035   0.024751   0.000000   0.000000  -0.203678  -0.000000   0.000000   40.0000     0.3301
   -4.000   0.659058   0.011175   0.014497   0.025672   0.000000   0.000000  -0.194685  -0.000000   0.000000   40.0000     0.3102
   -3.500   0.703881   0.012735   0.014282   0.027017   0.000000   0.000000  -0.185661  -0.000000  -0.000000   40.0000     0.2928
   -3.000   0.748605   0.014396   0.014189   0.028585   0.000000   0.000000  -0.176585  -0.000000  -0.000000   40.0000     0.2776
   -2.500   0.793219   0.016158   0.014144   0.030302   0.000000   0.000000  -0.167452  -0.000000   0.000000   40.0000     0.2641
   -2.000   0.837716   0.018019   0.014138   0.032157   0.000000   0.000000  -0.158265  -0.000000  -0.000000   40.0000     0.2520
   -1.500   0.882087   0.019978   0.014145   0.034124   0.000000   0.000000  -0.149022  -0.000000   0.000000   40.0000     0.2411
   -1.000   0.926322   0.022035   0.014164   0.036199   0.000000   0.000000  -0.139728  -0.000000  -0.000000   40.0000     0.2314
   -0.500   0.970415   0.024189   0.014220   0.038409   0.000000   0.000000  -0.130387  -0.000000  -0.000000   40.0000     0.2225
    0.000   1.014355   0.026437   0.014312   0.040749   0.000000   0.000000  -0.121000  -0.000000   0.000000   40.0000     0.2144
    0.500   1.058136   0.028780   0.014420   0.043200   0.000000   0.000000  -0.111571  -0.000000   0.000000   40.0000     0.2070
    1.000   1.101748   0.031215   0.014551   0.045766   0.000000   0.000000  -0.102101  -0.000000  -0.000000   40.0000     0.2002
    1.500   1.145183   0.033742   0.014707   0.048449   0.000000   0.000000  -0.092593  -0.000000  -0.000000   40.0000     0.1939
    2.000   1.188433   0.036359   0.014883   0.051241   0.000000   0.000000  -0.083050  -0.000000   0.000000   40.0000     0.1881
    2.500   1.231490   0.039064   0.015090   0.054154   0.000000   0.000000  -0.073476  -0.000000  -0.000000   40.0000     0.1828
    3.000   1.274345   0.041856   0.015319   0.057174   0.000000   0.000000  -0.063873  -0.000000   0.000000   40.0000     0.1778
    3.500   1.316992   0.044733   0.015565   0.060298   0.000000   0.000000  -0.054242   0.000000   0.000000   40.0000     0.1731
    4.000   1.359422   0.047693   0.015840   0.063534   0.000000   0.000000  -0.044588  -0.000000   0.000000   40.0000     0.1688
    4.500   1.401627   0.050736   0.016137   0.066873   0.000000   0.000000  -0.034913  -0.000000   0.000000   40.0000     0.1647
    5.000   1.443600   0.053858   0.016451   0.070309   0.000000   0.000000  -0.025220  -0.000000  -0.000000   40.0000     0.1609


