xflr5 v6.10.03

Wing name :        Fwd sweep 02 10 washin
Wing polar name :  T1-40.0 m/s-Panel-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500   0.308709   0.003441   0.023549   0.026990  -0.000000  -0.000000  -0.072443  -0.000000  -0.000000   40.0000     0.1323
   -4.000   0.351688   0.004036   0.021521   0.025556  -0.000000  -0.000000  -0.064982  -0.000000  -0.000000   40.0000     0.1042
   -3.500   0.394637   0.004726   0.019608   0.024333  -0.000000  -0.000000  -0.057496  -0.000000  -0.000000   40.0000     0.0822
   -3.000   0.437550   0.005511   0.017727   0.023239  -0.000000  -0.000000  -0.049988  -0.000000  -0.000000   40.0000     0.0645
   -2.500   0.480420   0.006392   0.015732   0.022124  -0.000000  -0.000000  -0.042461  -0.000000  -0.000000   40.0000     0.0499
   -2.000   0.523242   0.007368   0.013509   0.020877  -0.000000  -0.000000  -0.034918  -0.000000  -0.000000   40.0000     0.0376
   -1.500   0.566011   0.008439   0.011686   0.020125  -0.000000  -0.000000  -0.027356  -0.000000  -0.000000   40.0000     0.0272
   -1.000   0.608720   0.009603   0.010927   0.020531  -0.000000  -0.000000  -0.019775  -0.000000  -0.000000   40.0000     0.0182
   -0.500   0.651363   0.010862   0.010662   0.021524  -0.000000  -0.000000  -0.012178  -0.000000  -0.000000   40.0000     0.0103
    0.000   0.693936   0.012213   0.010536   0.022749  -0.000000  -0.000000  -0.004569  -0.000000  -0.000000   40.0000     0.0033
    0.500   0.736432   0.013656   0.010469   0.024126  -0.000000  -0.000000   0.003048  -0.000000  -0.000000   40.0000    -0.0029
    1.000   0.778845   0.015192   0.010475   0.025667  -0.000000  -0.000000   0.010673  -0.000000  -0.000000   40.0000    -0.0085
    1.500   0.821171   0.016817   0.010523   0.027340  -0.000000  -0.000000   0.018303  -0.000000  -0.000000   40.0000    -0.0135
    2.000   0.863403   0.018533   0.010636   0.029169  -0.000000  -0.000000   0.025934  -0.000000  -0.000000   40.0000    -0.0181


