xflr5 v6.10.03

Wing name :        Fwd sweep 02 25 washout
Wing polar name :  T1-40.0 m/s-VLM2-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500   0.237120   0.001912   0.026255   0.028167  -0.000000   0.000000  -0.127609   0.000000   0.000000   40.0000     0.3013
   -2.000   0.280966   0.002560   0.023486   0.026046  -0.000000   0.000000  -0.121236   0.000000   0.000000   40.0000     0.2414
   -1.500   0.324773   0.003308   0.020859   0.024167  -0.000000   0.000000  -0.114880   0.000000   0.000000   40.0000     0.1977
   -1.000   0.368532   0.004156   0.017732   0.021888  -0.000000   0.000000  -0.108536   0.000000   0.000000   40.0000     0.1644
   -0.500   0.412236   0.005105   0.014174   0.019279  -0.000000   0.000000  -0.102205   0.000000   0.000000   40.0000     0.1381
    0.000   0.455874   0.006152   0.012026   0.018178  -0.000000   0.000000  -0.095893   0.000000   0.000000   40.0000     0.1169
    0.500   0.499440   0.007298   0.010974   0.018272  -0.000000   0.000000  -0.089599  -0.000000   0.000000   40.0000     0.0994
    1.000   0.542924   0.008543   0.010413   0.018956  -0.000000   0.000000  -0.083320   0.000000   0.000000   40.0000     0.0848
    1.500   0.586317   0.009885   0.010333   0.020218  -0.000000   0.000000  -0.077054   0.000000   0.000000   40.0000     0.0723
    2.000   0.629612   0.011323   0.010339   0.021663  -0.000000   0.000000  -0.070805   0.000000   0.000000   40.0000     0.0615
    2.500   0.672800   0.012858   0.010342   0.023199  -0.000000   0.000000  -0.064575  -0.000000  -0.000000   40.0000     0.0521
    3.000   0.715873   0.014487   0.010345   0.024832  -0.000000   0.000000  -0.058367  -0.000000  -0.000000   40.0000     0.0439
    3.500   0.758822   0.016210   0.010349   0.026559  -0.000000   0.000000  -0.052184  -0.000000  -0.000000   40.0000     0.0366
    4.000   0.801640   0.018026   0.010334   0.028360  -0.000000   0.000000  -0.046027  -0.000000  -0.000000   40.0000     0.0300
    4.500   0.844317   0.019934   0.010297   0.030231  -0.000000   0.000000  -0.039898  -0.000000  -0.000000   40.0000     0.0242
    5.000   0.886847   0.021932   0.010286   0.032218  -0.000000   0.000000  -0.033796  -0.000000  -0.000000   40.0000     0.0189
    5.500   0.929220   0.024019   0.010283   0.034303  -0.000000  -0.000000  -0.027725  -0.000000  -0.000000   40.0000     0.0141
    6.000   0.971430   0.026195   0.010291   0.036486  -0.000000  -0.000000  -0.021686  -0.000000  -0.000000   40.0000     0.0097
    6.500   1.013467   0.028456   0.010324   0.038780  -0.000000   0.000000  -0.015680  -0.000000  -0.000000   40.0000     0.0057
    7.000   1.055325   0.030803   0.010410   0.041213  -0.000000   0.000000  -0.009709  -0.000000  -0.000000   40.0000     0.0020
    7.500   1.096995   0.033233   0.010587   0.043820  -0.000000   0.000000  -0.003773  -0.000000  -0.000000   40.0000    -0.0015
    8.000   1.138471   0.035745   0.010844   0.046589  -0.000000   0.000000   0.002126  -0.000000  -0.000000   40.0000    -0.0046
    8.500   1.179743   0.038337   0.011160   0.049497  -0.000000   0.000000   0.007984  -0.000000  -0.000000   40.0000    -0.0076
    9.000   1.220806   0.041007   0.011492   0.052500  -0.000000  -0.000000   0.013802  -0.000000  -0.000000   40.0000    -0.0103
    9.500   1.261651   0.043754   0.011810   0.055564  -0.000000  -0.000000   0.019577  -0.000000  -0.000000   40.0000    -0.0129
   10.000   1.302272   0.046576   0.012136   0.058712  -0.000000  -0.000000   0.025306  -0.000000  -0.000000   40.0000    -0.0153


