xflr5 v6.10.03

Wing name :        Fwd sweep 02 10 washin
Wing polar name :  T1-40.0 m/s-VLM2-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.319312   0.003609   0.022740   0.026348   0.000000  -0.000000  -0.069393   0.000000  -0.000000   40.0000     0.1231
   -3.000   0.363057   0.004242   0.020712   0.024954   0.000000  -0.000000  -0.063090   0.000000  -0.000000   40.0000     0.0984
   -2.500   0.406760   0.004975   0.018786   0.023761   0.000000  -0.000000  -0.056799   0.000000  -0.000000   40.0000     0.0791
   -2.000   0.450414   0.005808   0.016893   0.022701   0.000000  -0.000000  -0.050523   0.000000  -0.000000   40.0000     0.0634
   -1.500   0.494008   0.006741   0.014669   0.021410   0.000000  -0.000000  -0.044264   0.000000  -0.000000   40.0000     0.0506
   -1.000   0.537536   0.007773   0.012415   0.020188   0.000000  -0.000000  -0.038023   0.000000  -0.000000   40.0000     0.0398
   -0.500   0.580988   0.008903   0.011130   0.020033   0.000000  -0.000000  -0.031797   0.000000  -0.000000   40.0000     0.0307
    0.000   0.624355   0.010132   0.010682   0.020814   0.000000  -0.000000  -0.025589   0.000000  -0.000000   40.0000     0.0228
    0.500   0.667631   0.011458   0.010478   0.021936   0.000000  -0.000000  -0.019402   0.000000   0.000000   40.0000     0.0159
    1.000   0.710805   0.012880   0.010393   0.023273   0.000000  -0.000000  -0.013239   0.000000   0.000000   40.0000     0.0099
    1.500   0.753869   0.014399   0.010379   0.024777   0.000000  -0.000000  -0.007101   0.000000   0.000000   40.0000     0.0046
    2.000   0.796816   0.016012   0.010411   0.026423   0.000000  -0.000000  -0.000990   0.000000   0.000000   40.0000    -0.0002
    2.500   0.839637   0.017719   0.010530   0.028249   0.000000   0.000000   0.005092   0.000000   0.000000   40.0000    -0.0045


