xflr5 v6.10.03

Wing name :        Fwd sweep 02 5 washout
Wing polar name :  T1-40.0 m/s-LLT-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -0.500   0.525088   0.009362   0.012001   0.021363   0.000000   0.000000  -0.103331   0.000000  -0.000000   40.0000     0.1105
    0.000   0.575045   0.010719   0.011128   0.021847   0.000000   0.000000  -0.094564  -0.000000  -0.000000   40.0000     0.0922
    0.500   0.623948   0.012207   0.010484   0.022691   0.000000   0.000000  -0.086171  -0.000000  -0.000000   40.0000     0.0771
    1.000   0.670994   0.013834   0.010238   0.024072   0.000000   0.000000  -0.078320  -0.000000  -0.000000   40.0000     0.0649
    1.500   0.717370   0.015574   0.010144   0.025718   0.000000   0.000000  -0.070587  -0.000000  -0.000000   40.0000     0.0545
    2.000   0.763351   0.017432   0.010092   0.027524   0.000000   0.000000  -0.063026  -0.000000  -0.000000   40.0000     0.0455
    2.500   0.808900   0.019402   0.010097   0.029499   0.000000   0.000000  -0.055604  -0.000000  -0.000000   40.0000     0.0375
    3.000   0.854490   0.021479   0.010071   0.031550   0.000000   0.000000  -0.048185  -0.000000  -0.000000   40.0000     0.0304
    3.500   0.900038   0.023660   0.010036   0.033696   0.000000   0.000000  -0.040762  -0.000000  -0.000000   40.0000     0.0240
    4.000   0.945197   0.025937   0.010068   0.036004   0.000000   0.000000  -0.033391  -0.000000  -0.000000   40.0000     0.0182
    4.500   0.989917   0.028295   0.010173   0.038468   0.000000   0.000000  -0.026014  -0.000000  -0.000000   40.0000     0.0129
    5.000   1.034184   0.030735   0.010346   0.041081   0.000000   0.000000  -0.018691  -0.000000  -0.000000   40.0000     0.0080
    5.500   1.078229   0.033272   0.010541   0.043813   0.000000   0.000000  -0.011447  -0.000000  -0.000000   40.0000     0.0036
    6.000   1.122043   0.035901   0.010768   0.046669   0.000000   0.000000  -0.004245  -0.000000  -0.000000   40.0000    -0.0005
    6.500   1.165551   0.038613   0.011039   0.049652   0.000000   0.000000   0.002933  -0.000000  -0.000000   40.0000    -0.0043
    7.000   1.208742   0.041406   0.011353   0.052760   0.000000   0.000000   0.010091  -0.000000  -0.000000   40.0000    -0.0079
    7.500   1.251580   0.044281   0.011702   0.055983   0.000000   0.000000   0.017185  -0.000000  -0.000000   40.0000    -0.0112
    8.000   1.293756   0.047221   0.012126   0.059347   0.000000   0.000000   0.024147  -0.000000  -0.000000   40.0000    -0.0143
    8.500   1.335800   0.050252   0.012541   0.062793   0.000000   0.000000   0.031040  -0.000000  -0.000000   40.0000    -0.0172
    9.000   1.377435   0.053351   0.012992   0.066343   0.000000   0.000000   0.037897  -0.000000  -0.000000   40.0000    -0.0199
    9.500   1.418371   0.056500   0.013520   0.070020   0.000000   0.000000   0.044670  -0.000000  -0.000000   40.0000    -0.0225
   10.000   1.458362   0.059676   0.014155   0.073831   0.000000   0.000000   0.051372  -0.000000  -0.000000   40.0000    -0.0250


