xflr5 v6.10.03

Wing name :        Fwd sweep 02 25 washout
Wing polar name :  T1-40.0 m/s-VLM1-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500   0.238773   0.001946   0.026162   0.028107   0.000000  -0.000000  -0.128429  -0.000000   0.000000   40.0000     0.3011
   -2.000   0.282666   0.002600   0.023391   0.025991  -0.000000  -0.000000  -0.122079  -0.000000   0.000000   40.0000     0.2416
   -1.500   0.326517   0.003356   0.020748   0.024103   0.000000  -0.000000  -0.115745  -0.000000  -0.000000   40.0000     0.1981
   -1.000   0.370317   0.004211   0.017586   0.021797   0.000000  -0.000000  -0.109424  -0.000000  -0.000000   40.0000     0.1649
   -0.500   0.414058   0.005167   0.014048   0.019215   0.000000  -0.000000  -0.103116  -0.000000  -0.000000   40.0000     0.1387
    0.000   0.457731   0.006222   0.011981   0.018203   0.000000  -0.000000  -0.096826  -0.000000  -0.000000   40.0000     0.1176
    0.500   0.501327   0.007376   0.010950   0.018326   0.000000  -0.000000  -0.090554  -0.000000  -0.000000   40.0000     0.1001
    1.000   0.544838   0.008628   0.010399   0.019028   0.000000   0.000000  -0.084298  -0.000000   0.000000   40.0000     0.0855
    1.500   0.588255   0.009978   0.010322   0.020300   0.000000  -0.000000  -0.078054   0.000000   0.000000   40.0000     0.0730
    2.000   0.631571   0.011424   0.010333   0.021757   0.000000  -0.000000  -0.071826  -0.000000  -0.000000   40.0000     0.0622
    2.500   0.674776   0.012966   0.010342   0.023308   0.000000  -0.000000  -0.065618  -0.000000  -0.000000   40.0000     0.0528
    3.000   0.717863   0.014603   0.010347   0.024950   0.000000   0.000000  -0.059433  -0.000000  -0.000000   40.0000     0.0446
    3.500   0.760823   0.016334   0.010354   0.026687   0.000000  -0.000000  -0.053271  -0.000000  -0.000000   40.0000     0.0372
    4.000   0.803647   0.018157   0.010338   0.028495   0.000000  -0.000000  -0.047136  -0.000000  -0.000000   40.0000     0.0307
    4.500   0.846329   0.020072   0.010301   0.030373   0.000000  -0.000000  -0.041028  -0.000000  -0.000000   40.0000     0.0249
    5.000   0.888858   0.022076   0.010288   0.032364   0.000000  -0.000000  -0.034947  -0.000000  -0.000000   40.0000     0.0196
    5.500   0.931229   0.024170   0.010285   0.034455   0.000000  -0.000000  -0.028897  -0.000000  -0.000000   40.0000     0.0147
    6.000   0.973432   0.026351   0.010294   0.036645   0.000000  -0.000000  -0.022878   0.000000   0.000000   40.0000     0.0103
    6.500   1.015460   0.028618   0.010326   0.038945   0.000000  -0.000000  -0.016893   0.000000   0.000000   40.0000     0.0063
    7.000   1.057305   0.030970   0.010414   0.041384   0.000000  -0.000000  -0.010943  -0.000000  -0.000000   40.0000     0.0026
    7.500   1.098959   0.033405   0.010596   0.044000   0.000000  -0.000000  -0.005027   0.000000   0.000000   40.0000    -0.0008
    8.000   1.140416   0.035921   0.010857   0.046777   0.000000  -0.000000   0.000852  -0.000000  -0.000000   40.0000    -0.0040
    8.500   1.181666   0.038516   0.011174   0.049689   0.000000  -0.000000   0.006691  -0.000000  -0.000000   40.0000    -0.0070
    9.000   1.222703   0.041189   0.011504   0.052693   0.000000  -0.000000   0.012488   0.000000   0.000000   40.0000    -0.0097
    9.500   1.263520   0.043938   0.011820   0.055758   0.000000  -0.000000   0.018244   0.000000   0.000000   40.0000    -0.0123
   10.000   1.304109   0.046761   0.012147   0.058908   0.000000   0.000000   0.023955   0.000000   0.000000   40.0000    -0.0147


