xflr5 v6.10.03

Wing name :        Fwd sweep 02 25 washout
Wing polar name :  T1-40.0 m/s-LLT-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.500   0.359672   0.004309   0.016823   0.021132   0.000000   0.000000  -0.115418  -0.000000  -0.000000   40.0000     0.1829
   -2.000   0.420534   0.005470   0.012729   0.018199   0.000000   0.000000  -0.108757  -0.000000  -0.000000   40.0000     0.1461
   -1.500   0.473116   0.006624   0.011026   0.017649   0.000000   0.000000  -0.100227  -0.000000  -0.000000   40.0000     0.1195
   -1.000   0.521778   0.007880   0.010285   0.018165   0.000000   0.000000  -0.092384  -0.000000  -0.000000   40.0000     0.0997
   -0.500   0.568777   0.009244   0.010025   0.019269   0.000000   0.000000  -0.084715  -0.000000  -0.000000   40.0000     0.0835
    0.000   0.614740   0.010716   0.010022   0.020738   0.000000   0.000000  -0.077298  -0.000000  -0.000000   40.0000     0.0704
    0.500   0.660452   0.012301   0.010031   0.022332   0.000000   0.000000  -0.069989  -0.000000  -0.000000   40.0000     0.0592
    1.000   0.706212   0.013992   0.010021   0.024013   0.000000   0.000000  -0.062575  -0.000000  -0.000000   40.0000     0.0492
    1.500   0.752049   0.015789   0.009979   0.025768   0.000000   0.000000  -0.055055  -0.000000  -0.000000   40.0000     0.0404
    2.000   0.797713   0.017695   0.009943   0.027639   0.000000   0.000000  -0.047612  -0.000000  -0.000000   40.0000     0.0327
    2.500   0.843259   0.019707   0.009929   0.029636   0.000000   0.000000  -0.040201  -0.000000  -0.000000   40.0000     0.0257
    3.000   0.888749   0.021827   0.009904   0.031731   0.000000   0.000000  -0.032835  -0.000000  -0.000000   40.0000     0.0195
    3.500   0.934025   0.024048   0.009908   0.033956   0.000000  -0.000000  -0.025516  -0.000000  -0.000000   40.0000     0.0139
    4.000   0.978994   0.026364   0.009961   0.036325   0.000000   0.000000  -0.018224  -0.000000  -0.000000   40.0000     0.0088
    4.500   1.023323   0.028755   0.010126   0.038881   0.000000   0.000000  -0.010984  -0.000000  -0.000000   40.0000     0.0041
    5.000   1.067212   0.031230   0.010360   0.041590   0.000000   0.000000  -0.003814  -0.000000  -0.000000   40.0000    -0.0001
    5.500   1.110913   0.033801   0.010616   0.044416   0.000000   0.000000   0.003278  -0.000000  -0.000000   40.0000    -0.0041
    6.000   1.154386   0.036461   0.010900   0.047361   0.000000   0.000000   0.010326  -0.000000  -0.000000   40.0000    -0.0077
    6.500   1.197575   0.039205   0.011220   0.050425   0.000000   0.000000   0.017346  -0.000000  -0.000000   40.0000    -0.0111
    7.000   1.240388   0.042025   0.011587   0.053612   0.000000  -0.000000   0.024340  -0.000000  -0.000000   40.0000    -0.0143
    7.500   1.282732   0.044921   0.011999   0.056919   0.000000   0.000000   0.031234  -0.000000  -0.000000   40.0000    -0.0173
    8.000   1.324560   0.047887   0.012459   0.060347   0.000000   0.000000   0.038014  -0.000000  -0.000000   40.0000    -0.0201
    8.500   1.366217   0.050942   0.012912   0.063854   0.000000   0.000000   0.044719  -0.000000  -0.000000   40.0000    -0.0227
    9.000   1.407326   0.054058   0.013415   0.067473   0.000000  -0.000000   0.051352  -0.000000  -0.000000   40.0000    -0.0252
    9.500   1.447649   0.057217   0.014003   0.071220   0.000000  -0.000000   0.057880  -0.000000  -0.000000   40.0000    -0.0275
   10.000   1.486996   0.060399   0.014698   0.075097   0.000000   0.000000   0.064317  -0.000000  -0.000000   40.0000    -0.0298


