xflr5 v6.10.03

Wing name :        Fwd sweep 02 5 washin
Wing polar name :  T1-40.0 m/s-VLM2-x0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.251327   0.001806   0.024782   0.026588  -0.000000   0.000000  -0.097682   0.000000   0.000000   40.0000     0.2189
   -3.000   0.295169   0.002366   0.022443   0.024809  -0.000000   0.000000  -0.091342   0.000000   0.000000   40.0000     0.1742
   -2.500   0.338977   0.003026   0.020233   0.023259  -0.000000   0.000000  -0.085013   0.000000   0.000000   40.0000     0.1411
   -2.000   0.382743   0.003787   0.018079   0.021866  -0.000000   0.000000  -0.078697   0.000000   0.000000   40.0000     0.1156
   -1.500   0.426458   0.004648   0.015770   0.020418  -0.000000   0.000000  -0.072397   0.000000   0.000000   40.0000     0.0953
   -1.000   0.470113   0.005609   0.013284   0.018892  -0.000000   0.000000  -0.066113   0.000000   0.000000   40.0000     0.0787
   -0.500   0.513701   0.006669   0.011419   0.018087  -0.000000   0.000000  -0.059843   0.000000   0.000000   40.0000     0.0650
    0.000   0.557212   0.007827   0.010720   0.018548  -0.000000   0.000000  -0.053588   0.000000   0.000000   40.0000     0.0535
    0.500   0.600638   0.009084   0.010429   0.019514  -0.000000   0.000000  -0.047349   0.000000   0.000000   40.0000     0.0436
    1.000   0.643971   0.010439   0.010274   0.020713  -0.000000   0.000000  -0.041130   0.000000   0.000000   40.0000     0.0350
    1.500   0.687202   0.011890   0.010174   0.022063  -0.000000   0.000000  -0.034932   0.000000   0.000000   40.0000     0.0275
    2.000   0.730323   0.013437   0.010128   0.023564  -0.000000   0.000000  -0.028758   0.000000   0.000000   40.0000     0.0210
    2.500   0.773325   0.015078   0.010143   0.025221  -0.000000   0.000000  -0.022610  -0.000000  -0.000000   40.0000     0.0151
    3.000   0.816200   0.016814   0.010179   0.026993  -0.000000   0.000000  -0.016490   0.000000  -0.000000   40.0000     0.0099
    3.500   0.858941   0.018643   0.010238   0.028881  -0.000000   0.000000  -0.010399   0.000000  -0.000000   40.0000     0.0052
    4.000   0.901538   0.020564   0.010305   0.030868  -0.000000   0.000000  -0.004338   0.000000  -0.000000   40.0000     0.0009
    4.500   0.943983   0.022575   0.010393   0.032967  -0.000000   0.000000   0.001691   0.000000  -0.000000   40.0000    -0.0030
    5.000   0.986270   0.024675   0.010499   0.035174  -0.000000   0.000000   0.007686   0.000000  -0.000000   40.0000    -0.0065
    5.500   1.028389   0.026864   0.010628   0.037492  -0.000000   0.000000   0.013647  -0.000000  -0.000000   40.0000    -0.0098
    6.000   1.070333   0.029139   0.010808   0.039946  -0.000000   0.000000   0.019573  -0.000000  -0.000000   40.0000    -0.0128
    6.500   1.112094   0.031499   0.011048   0.042547  -0.000000   0.000000   0.025461   0.000000  -0.000000   40.0000    -0.0156


