xflr5 v6.10.03

Wing name :        Basis lunate fwd sweep 02
Wing polar name :  T1-40.0 m/s-VLM1-0.000m
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.184879   0.000990   0.028899   0.029889  -0.000000  -0.000000  -0.126872  -0.000000   0.000000   40.0000     0.3851
   -3.000   0.228828   0.001480   0.025939   0.027419   0.000000   0.000000  -0.120514   0.000000   0.000000   40.0000     0.2955
   -2.500   0.272749   0.002072   0.023382   0.025454   0.000000  -0.000000  -0.114174  -0.000000  -0.000000   40.0000     0.2347
   -2.000   0.316633   0.002764   0.020992   0.023756   0.000000  -0.000000  -0.107846  -0.000000  -0.000000   40.0000     0.1908
   -1.500   0.360470   0.003558   0.018352   0.021910   0.000000   0.000000  -0.101529  -0.000000  -0.000000   40.0000     0.1576
   -1.000   0.404253   0.004451   0.015034   0.019486   0.000000  -0.000000  -0.095225   0.000000  -0.000000   40.0000     0.1316
   -0.500   0.447972   0.005445   0.012103   0.017548   0.000000   0.000000  -0.088939  -0.000000  -0.000000   40.0000     0.1107
    0.000   0.491620   0.006538   0.010962   0.017501   0.000000  -0.000000  -0.082669  -0.000000  -0.000000   40.0000     0.0935
    0.500   0.535187   0.007730   0.010574   0.018304   0.000000  -0.000000  -0.076413  -0.000000  -0.000000   40.0000     0.0791
    1.000   0.578666   0.009020   0.010405   0.019425   0.000000   0.000000  -0.070172  -0.000000  -0.000000   40.0000     0.0669
    1.500   0.622047   0.010407   0.010296   0.020703   0.000000  -0.000000  -0.063948   0.000000  -0.000000   40.0000     0.0564
    2.000   0.665322   0.011891   0.010259   0.022150   0.000000   0.000000  -0.057743   0.000000   0.000000   40.0000     0.0473
    2.500   0.708483   0.013470   0.010220   0.023690   0.000000  -0.000000  -0.051560   0.000000  -0.000000   40.0000     0.0392
    3.000   0.751522   0.015144   0.010210   0.025354   0.000000   0.000000  -0.045401  -0.000000  -0.000000   40.0000     0.0322
    3.500   0.794430   0.016911   0.010226   0.027137   0.000000   0.000000  -0.039268   0.000000   0.000000   40.0000     0.0258
    4.000   0.837199   0.018771   0.010225   0.028996   0.000000   0.000000  -0.033162  -0.000000  -0.000000   40.0000     0.0202
    4.500   0.879821   0.020722   0.010233   0.030954   0.000000   0.000000  -0.027085  -0.000000  -0.000000   40.0000     0.0151
    5.000   0.922288   0.022762   0.010251   0.033013   0.000000  -0.000000  -0.021038  -0.000000  -0.000000   40.0000     0.0104
    5.500   0.964592   0.024892   0.010272   0.035164   0.000000   0.000000  -0.015023  -0.000000  -0.000000   40.0000     0.0062
    6.000   1.006725   0.027109   0.010306   0.037415   0.000000   0.000000  -0.009042   0.000000   0.000000   40.0000     0.0023
    6.500   1.048679   0.029411   0.010380   0.039791   0.000000   0.000000  -0.003095  -0.000000  -0.000000   40.0000    -0.0013
    7.000   1.090447   0.031797   0.010546   0.042343   0.000000  -0.000000   0.002818   0.000000   0.000000   40.0000    -0.0046
    7.500   1.132020   0.034266   0.010821   0.045088   0.000000   0.000000   0.008695  -0.000000  -0.000000   40.0000    -0.0076
    8.000   1.173392   0.036816   0.011155   0.047971   0.000000   0.000000   0.014533  -0.000000  -0.000000   40.0000    -0.0104
    8.500   1.214554   0.039445   0.011519   0.050964   0.000000   0.000000   0.020328  -0.000000  -0.000000   40.0000    -0.0131
    9.000   1.255499   0.042152   0.011875   0.054026   0.000000   0.000000   0.026079   0.000000   0.000000   40.0000    -0.0156
    9.500   1.296220   0.044934   0.012211   0.057145   0.000000   0.000000   0.031785   0.000000   0.000000   40.0000    -0.0179
   10.000   1.336711   0.047789   0.012593   0.060382   0.000000   0.000000   0.037447  -0.000000   0.000000   40.0000    -0.0201


