xflr5 v6.10.03

Wing name :        wing019
Wing polar name :  T1-40.0 m/s-Panel
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500   0.244258   0.002851   0.017552   0.020403   0.000000   0.000000   0.143842   0.000000  -0.000000   40.0000    -0.2273
   -1.000   0.285752   0.003177   0.015970   0.019147  -0.000000   0.000000   0.168948   0.000000  -0.000000   40.0000    -0.2260
   -0.500   0.327219   0.003602   0.014328   0.017930  -0.000000   0.000000   0.194093   0.000000  -0.000000   40.0000    -0.2252
    0.000   0.368654   0.004126   0.012806   0.016932  -0.000000   0.000000   0.219264   0.000000  -0.000000   40.0000    -0.2247
    0.500   0.410052   0.004747   0.011787   0.016534  -0.000000   0.000000   0.244454   0.000000  -0.000000   40.0000    -0.2244
    1.000   0.451405   0.005467   0.011217   0.016685  -0.000000   0.000000   0.269670   0.000000  -0.000000   40.0000    -0.2243
    1.500   0.492710   0.006285   0.010893   0.017177  -0.000000   0.000000   0.294911   0.000000  -0.000000   40.0000    -0.2243
    2.000   0.533959   0.007199   0.010805   0.018004  -0.000000   0.000000   0.320175   0.000000  -0.000000   40.0000    -0.2244
    2.500   0.575147   0.008210   0.010792   0.019002  -0.000000   0.000000   0.345456   0.000000  -0.000000   40.0000    -0.2246
    3.000   0.616269   0.009317   0.010825   0.020142  -0.000000   0.000000   0.370748   0.000000  -0.000000   40.0000    -0.2249
    3.500   0.657318   0.010519   0.010892   0.021411  -0.000000   0.000000   0.396043   0.000000  -0.000000   40.0000    -0.2252
    4.000   0.698290   0.011815   0.010990   0.022805  -0.000000   0.000000   0.421336   0.000000  -0.000000   40.0000    -0.2255
    4.500   0.739179   0.013205   0.011115   0.024320  -0.000000   0.000000   0.446618   0.000000  -0.000000   40.0000    -0.2259
    5.000   0.779979   0.014688   0.011286   0.025974  -0.000000   0.000000   0.471883  -0.000000  -0.000000   40.0000    -0.2264


