xflr5 v6.10.03

Wing name :        wing001
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000   0.588021   0.008618   0.015391   0.024010  -0.000000   0.000000  -0.265803  -0.000000   0.000000   40.0000     0.4591
   -4.500   0.633562   0.009989   0.014832   0.024821  -0.000000   0.000000  -0.260660  -0.000000  -0.000000   40.0000     0.4373
   -4.000   0.679019   0.011462   0.014394   0.025856  -0.000000   0.000000  -0.255454  -0.000000  -0.000000   40.0000     0.4185
   -3.500   0.724385   0.013036   0.014264   0.027300  -0.000000   0.000000  -0.250201  -0.000000  -0.000000   40.0000     0.4020
   -3.000   0.769650   0.014710   0.014185   0.028895  -0.000000   0.000000  -0.244884  -0.000000   0.000000   40.0000     0.3875
   -2.500   0.814805   0.016484   0.014156   0.030639  -0.000000   0.000000  -0.239504   0.000000   0.000000   40.0000     0.3746
   -2.000   0.859843   0.018356   0.014158   0.032514  -0.000000  -0.000000  -0.234060  -0.000000  -0.000000   40.0000     0.3631
   -1.500   0.904753   0.020327   0.014170   0.034497  -0.000000   0.000000  -0.228554   0.000000   0.000000   40.0000     0.3528
   -1.000   0.949529   0.022395   0.014197   0.036592  -0.000000   0.000000  -0.222986  -0.000000   0.000000   40.0000     0.3435
   -0.500   0.994160   0.024558   0.014270   0.038828  -0.000000   0.000000  -0.217361  -0.000000   0.000000   40.0000     0.3350
    0.000   1.038640   0.026816   0.014378   0.041194  -0.000000   0.000000  -0.211680  -0.000000   0.000000   40.0000     0.3273
    0.500   1.082958   0.029168   0.014494   0.043661  -0.000000   0.000000  -0.205942   0.000000   0.000000   40.0000     0.3202
    1.000   1.127107   0.031611   0.014632   0.046243  -0.000000   0.000000  -0.200150   0.000000   0.000000   40.0000     0.3138
    1.500   1.171079   0.034146   0.014802   0.048948  -0.000000   0.000000  -0.194307   0.000000   0.000000   40.0000     0.3078
    2.000   1.214866   0.036770   0.014988   0.051758  -0.000000   0.000000  -0.188413   0.000000   0.000000   40.0000     0.3023
    2.500   1.258458   0.039483   0.015205   0.054687  -0.000000   0.000000  -0.182471  -0.000000  -0.000000   40.0000     0.2972
    3.000   1.301849   0.042281   0.015444   0.057726  -0.000000   0.000000  -0.176482  -0.000000   0.000000   40.0000     0.2924
    3.500   1.345030   0.045165   0.015711   0.060875  -0.000000   0.000000  -0.170448  -0.000000  -0.000000   40.0000     0.2880
    4.000   1.387994   0.048131   0.015998   0.064129  -0.000000   0.000000  -0.164370   0.000000   0.000000   40.0000     0.2839
    4.500   1.430732   0.051179   0.016303   0.067482  -0.000000   0.000000  -0.158251  -0.000000  -0.000000   40.0000     0.2801
    5.000   1.473237   0.054306   0.016632   0.070939  -0.000000   0.000000  -0.152092  -0.000000  -0.000000   40.0000     0.2765


