xflr5 v6.10.03

Wing name :        wing020
Wing polar name :  T1-40.0 m/s-LLT
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000   0.114969   0.003043   0.020190   0.023233   0.000000  -0.000000   0.091173  -0.000000  -0.000000   40.0000    -0.3513
   -2.500   0.172414   0.003345   0.017626   0.020971   0.000000  -0.000000   0.125223  -0.000000  -0.000000   40.0000    -0.3229
   -2.000   0.230598   0.003816   0.014950   0.018766   0.000000  -0.000000   0.158985  -0.000000  -0.000000   40.0000    -0.2900
   -1.500   0.285977   0.004413   0.012589   0.017002   0.000000  -0.000000   0.191212  -0.000000  -0.000000   40.0000    -0.2660
   -1.000   0.338339   0.005104   0.010713   0.015817   0.000000   0.000000   0.221302  -0.000000  -0.000000   40.0000    -0.2537
   -0.500   0.384511   0.005730   0.010325   0.016055   0.000000  -0.000000   0.247834  -0.000000  -0.000000   40.0000    -0.2327
    0.000   0.429717   0.006438   0.010248   0.016686   0.000000  -0.000000   0.273727  -0.000000  -0.000000   40.0000    -0.5865
    0.500   0.474702   0.007249   0.010240   0.017489   0.000000   0.000000   0.299446  -0.000000  -0.000000   40.0000    -0.2847
    1.000   0.519530   0.008167   0.010264   0.018431   0.000000   0.000000   0.325023  -0.000000  -0.000000   40.0000    -0.2604
    1.500   0.564174   0.009190   0.010325   0.019515   0.000000   0.000000   0.350427  -0.000000  -0.000000   40.0000    -0.2515
    2.000   0.608739   0.010324   0.010384   0.020708   0.000000   0.000000   0.375709  -0.000000  -0.000000   40.0000    -0.2460
    2.500   0.653098   0.011561   0.010479   0.022040   0.000000   0.000000   0.400807  -0.000000  -0.000000   40.0000    -0.2420
    3.000   0.696926   0.012890   0.010654   0.023544   0.000000   0.000000   0.425429  -0.000000  -0.000000   40.0000    -0.2388
    3.500   0.740625   0.014323   0.010833   0.025157   0.000000   0.000000   0.449901  -0.000000  -0.000000   40.0000    -0.2362
    4.000   0.783790   0.015845   0.011079   0.026924   0.000000   0.000000   0.473894  -0.000000  -0.000000   40.0000    -0.2339
    4.500   0.826112   0.017443   0.011424   0.028867   0.000000  -0.000000   0.497164  -0.000000  -0.000000   40.0000    -0.2319
    5.000   0.867891   0.019123   0.011801   0.030924   0.000000  -0.000000   0.519879  -0.000000  -0.000000   40.0000    -0.2300


