xflr5 v6.10.03

Wing name :        wing018
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500   0.233238   0.002845   0.017436   0.020280   0.000000   0.000000   0.143966   0.000000   0.000000   40.0000    -0.2342
   -1.000   0.274995   0.003150   0.015792   0.018942  -0.000000   0.000000   0.167798   0.000000  -0.000000   40.0000    -0.2295
   -0.500   0.316718   0.003554   0.014037   0.017591   0.000000  -0.000000   0.191589   0.000000   0.000000   40.0000    -0.2261
    0.000   0.358400   0.004057   0.012478   0.016536   0.000000   0.000000   0.215323   0.000000   0.000000   40.0000    -0.2235
    0.500   0.400033   0.004659   0.011576   0.016235   0.000000  -0.000000   0.238995   0.000000   0.000000   40.0000    -0.2214
    1.000   0.441608   0.005358   0.011068   0.016426   0.000000  -0.000000   0.262615   0.000000   0.000000   40.0000    -0.2198
    1.500   0.483116   0.006155   0.010762   0.016917   0.000000  -0.000000   0.286184   0.000000   0.000000   40.0000    -0.2184
    2.000   0.524550   0.007049   0.010675   0.017724  -0.000000  -0.000000   0.309697   0.000000   0.000000   40.0000    -0.2173
    2.500   0.565900   0.008039   0.010661   0.018700  -0.000000  -0.000000   0.333151   0.000000  -0.000000   40.0000    -0.2163
    3.000   0.607160   0.009125   0.010691   0.019816   0.000000   0.000000   0.356538   0.000000   0.000000   40.0000    -0.2155
    3.500   0.648321   0.010306   0.010745   0.021051   0.000000   0.000000   0.379853   0.000000   0.000000   40.0000    -0.2148
    4.000   0.689374   0.011582   0.010839   0.022421  -0.000000  -0.000000   0.403089   0.000000   0.000000   40.0000    -0.2143
    4.500   0.730312   0.012950   0.010960   0.023910  -0.000000  -0.000000   0.426239   0.000000   0.000000   40.0000    -0.2138
    5.000   0.771126   0.014411   0.011108   0.025519   0.000000   0.000000   0.449297  -0.000000  -0.000000   40.0000    -0.2133


