xflr5 v6.10.03

Wing name :        wing016
Wing polar name :  T1-40.0 m/s-VLM1
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500   0.220981   0.002420   0.019707   0.022128  -0.000000  -0.000000   0.044147   0.000000  -0.000000   40.0000    -0.0841
   -3.000   0.263002   0.002733   0.018315   0.021048  -0.000000   0.000000   0.061664   0.000000   0.000000   40.0000    -0.1032
   -2.500   0.304996   0.003145   0.017081   0.020226  -0.000000  -0.000000   0.079168   0.000000   0.000000   40.0000    -0.1170
   -2.000   0.346952   0.003657   0.015960   0.019617  -0.000000  -0.000000   0.096661   0.000000   0.000000   40.0000    -0.1274
   -1.500   0.388865   0.004269   0.014809   0.019078  -0.000000  -0.000000   0.114148   0.000000  -0.000000   40.0000    -0.1357
   -1.000   0.430724   0.004979   0.013655   0.018634  -0.000000  -0.000000   0.131620   0.000000   0.000000   40.0000    -0.1423
   -0.500   0.472521   0.005789   0.012615   0.018404  -0.000000  -0.000000   0.149069   0.000000  -0.000000   40.0000    -0.1478
    0.000   0.514249   0.006697   0.011890   0.018587  -0.000000  -0.000000   0.166485   0.000000   0.000000   40.0000    -0.1524
    0.500   0.555899   0.007703   0.011464   0.019167  -0.000000  -0.000000   0.183868   0.000000   0.000000   40.0000    -0.1563
    1.000   0.597461   0.008806   0.011193   0.020000  -0.000000  -0.000000   0.201222   0.000000   0.000000   40.0000    -0.1596
    1.500   0.638929   0.010006   0.011135   0.021141  -0.000000  -0.000000   0.218543   0.000000   0.000000   40.0000    -0.1626
    2.000   0.680294   0.011301   0.011163   0.022465  -0.000000   0.000000   0.235831   0.000000   0.000000   40.0000    -0.1652
    2.500   0.721548   0.012691   0.011224   0.023916  -0.000000  -0.000000   0.253081   0.000000  -0.000000   40.0000    -0.1675
    3.000   0.762683   0.014176   0.011314   0.025489  -0.000000   0.000000   0.270291   0.000000  -0.000000   40.0000    -0.1696
    3.500   0.803690   0.015753   0.011445   0.027197  -0.000000  -0.000000   0.287454   0.000000   0.000000   40.0000    -0.1715
    4.000   0.844561   0.017422   0.011617   0.029039  -0.000000   0.000000   0.304566   0.000000   0.000000   40.0000    -0.1732
    4.500   0.885289   0.019182   0.011845   0.031027  -0.000000  -0.000000   0.321621   0.000000   0.000000   40.0000    -0.1748
    5.000   0.925866   0.021032   0.012129   0.033160  -0.000000  -0.000000   0.338615   0.000000   0.000000   40.0000    -0.1762


