xflr5 v6.10.03

Wing name :        wing019
Wing polar name :  T1-40.0 m/s-LLT
Freestream speed :  40.000 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000   0.099490   0.002681   0.021174   0.023854   0.000000   0.000000   0.074513  -0.000000  -0.000000   40.0000    -0.3200
   -2.500   0.157219   0.002968   0.018600   0.021568   0.000000   0.000000   0.108939  -0.000000  -0.000000   40.0000    -0.3060
   -2.000   0.217719   0.003473   0.015509   0.018982   0.000000  -0.000000   0.145039  -0.000000   0.000000   40.0000    -0.2777
   -1.500   0.274465   0.004098   0.012897   0.016995   0.000000  -0.000000   0.178516  -0.000000  -0.000000   40.0000    -0.2549
   -1.000   0.327816   0.004810   0.010805   0.015615   0.000000  -0.000000   0.209429  -0.000000  -0.000000   40.0000    -0.2453
   -0.500   0.374295   0.005440   0.010334   0.015774   0.000000   0.000000   0.236217  -0.000000  -0.000000   40.0000    -0.2253
    0.000   0.419623   0.006144   0.010244   0.016387   0.000000   0.000000   0.262255  -0.000000  -0.000000   40.0000    -0.5595
    0.500   0.464696   0.006951   0.010223   0.017173   0.000000   0.000000   0.288081  -0.000000  -0.000000   40.0000    -0.2803
    1.000   0.509614   0.007864   0.010233   0.018097   0.000000   0.000000   0.313771  -0.000000  -0.000000   40.0000    -0.2552
    1.500   0.554355   0.008883   0.010282   0.019165   0.000000   0.000000   0.339294  -0.000000  -0.000000   40.0000    -0.2466
    2.000   0.598994   0.010012   0.010337   0.020349   0.000000   0.000000   0.364678  -0.000000  -0.000000   40.0000    -0.2414
    2.500   0.643456   0.011246   0.010422   0.021668   0.000000   0.000000   0.389907  -0.000000  -0.000000   40.0000    -0.2377
    3.000   0.687649   0.012582   0.010557   0.023139   0.000000   0.000000   0.414949  -0.000000  -0.000000   40.0000    -0.2348
    3.500   0.731636   0.014019   0.010708   0.024727   0.000000   0.000000   0.439753  -0.000000  -0.000000   40.0000    -0.2325
    4.000   0.775019   0.015546   0.010936   0.026482   0.000000   0.000000   0.463985  -0.000000  -0.000000   40.0000    -0.2304
    4.500   0.817622   0.017151   0.011262   0.028413   0.000000   0.000000   0.487579  -0.000000  -0.000000   40.0000    -0.2287
    5.000   0.859931   0.018847   0.011600   0.030447   0.000000  -0.000000   0.510899  -0.000000  -0.000000   40.0000    -0.2271


